content,score,sentiment,clean
awalnya saya pake si ijo ini karena sebelah bermasalah dalam pengiriman. lha kok ini sama aja. lebih parahnya di si ijo ini gaada customer service yg sedia 24 jam gaissss. jadi kalo KOMPLAIN HARUS NUNGGU 7 HARIIII busettttt lama banget kata aku. sedangkan di aplikasi sebelah CUSTOMER SERVICE SEDIA 24 JAM LOHHHH,1,negatif,awalnya saya pake si ijo ini karena sebelah bermasalah dalam pengiriman lha kok ini sama aja lebih parahnya di si ijo ini gaada customer service yg sedia jam gaissss jadi kalo komplain harus nunggu hariiii busettttt lama banget kata aku sedangkan di aplikasi sebelah customer service sedia jam lohhhh
ok bgt bosz,5,positif,ok bgt bosz
mantap,5,positif,mantap
Tokped The Best,5,positif,tokped the best
kurir nya makin lama makin gk jelas estimasi nya kapan nyampe nya blom tau kapan,1,negatif,kurir nya makin lama makin gk jelas estimasi nya kapan nyampe nya blom tau kapan
gokil,5,positif,gokil
"Selalu jadi andalan, Di setiap kebutuhan.....",5,positif,selalu jadi andalan di setiap kebutuhan
kerja di bidang selas,5,positif,kerja di bidang selas
YA KALI ADMIN BAYAR PAKE VA BANK JADI 5RB. MANA ADA BIAYA LAYANAN PULA,1,negatif,ya kali admin bayar pake va bank jadi rb mana ada biaya layanan pula
Iklan,5,positif,iklan
kadang lemot knp ya,5,positif,kadang lemot knp ya
"penggunaan baru dapet voucher diskon,tpi pas mau di cek out gabisa kocakk kontollllll",1,negatif,penggunaan baru dapet voucher diskontpi pas mau di cek out gabisa kocakk kontollllll
mudah pilih barang yg diinginkan dan mudah cara pembayarannya,5,positif,mudah pilih barang yg diinginkan dan mudah cara pembayarannya
ok mantab,5,positif,ok mantab
Pelit gratis ongkir,3,netral,pelit gratis ongkir
Bagus,5,positif,bagus
kalo ada kendala gak bisa menyelesaikan,1,negatif,kalo ada kendala gak bisa menyelesaikan
Mudah di Aplikasikan dan banyak Promo menarik,5,positif,mudah di aplikasikan dan banyak promo menarik
Sangat membantu,5,positif,sangat membantu
bagus,5,positif,bagus
"beli obat nelandoz di persulit banget ya,bingung hrus beli kmn lagi,ini obat penting bnget buat penderita endometriosis ky sya",1,negatif,beli obat nelandoz di persulit banget yabingung hrus beli kmn lagiini obat penting bnget buat penderita endometriosis ky sya
Saya baru melaKukan permainan ini dan ingin mmembukktikan apakahini nyata atau hanya permainan biasa yang tidak menghasilkan saya ingin membuktikannya demikian pengalaman saya semoga menjadi pengalaman yang berharga trimakasih.,5,positif,saya baru melakukan permainan ini dan ingin mmembukktikan apakahini nyata atau hanya permainan biasa yang tidak menghasilkan saya ingin membuktikannya demikian pengalaman saya semoga menjadi pengalaman yang berharga trimakasih
bagus,5,positif,bagus
"Kenapa Tokped selalu eror sih sekarang kalo di buka g kyk dulu lancar ,, ribet bgt skrg",1,negatif,kenapa tokped selalu eror sih sekarang kalo di buka g kyk dulu lancar ribet bgt skrg
"Untuk ramadhan 2026, Tokopedia lumayan enak dipake belanja! Saya mengakui voucher² yang ditawarkan sangat bermanfaat, tapi terkendala dari gratis ongkirnya, atau dibatasi! Tentu hal ini sangat² problematik, disaat pesaing beratnya shopee malah gila²an ngasih gratis ongkirnya! Ayolah, setahun sekali ajak pengguna Tokopedia merasakan keseruan yang tak terlupakan, jadikan momen Ramadan ini spektakuler! semangat :)",4,positif,untuk ramadhan tokopedia lumayan enak dipake belanja saya mengakui voucher yang ditawarkan sangat bermanfaat tapi terkendala dari gratis ongkirnya atau dibatasi tentu hal ini sangat problematik disaat pesaing beratnya shopee malah gilaan ngasih gratis ongkirnya ayolah setahun sekali ajak pengguna tokopedia merasakan keseruan yang tak terlupakan jadikan momen ramadan ini spektakuler semangat 
"makasih Tokopedia sudah bayarin belanjaan saya, Ramadhan extra seru emang mantul, tapi malam ini eror tidak muncul voc",5,positif,makasih tokopedia sudah bayarin belanjaan saya ramadhan extra seru emang mantul tapi malam ini eror tidak muncul voc
mantap,4,positif,mantap
Keren 👍,5,positif,keren 
banyakin ongkir gratis,5,positif,banyakin ongkir gratis
mantap,5,positif,mantap
"Tokped sudah sangat berat, sekarang suka lag dan keluar aplikasi sendiri. tolong untuk pihak developer segera atasi masalah ini dan sedikit saran tidak perlu ikutan aplikasi sebelah yang ditambah feed/video reel dikarenakan itu penyebab utama lag dan sering keluar aplikasi sendiri. saya lebih suka Tokopedia yang dulu tanpa feed/video reel tapi ringan. terimakasih.",3,netral,tokped sudah sangat berat sekarang suka lag dan keluar aplikasi sendiri tolong untuk pihak developer segera atasi masalah ini dan sedikit saran tidak perlu ikutan aplikasi sebelah yang ditambah feedvideo reel dikarenakan itu penyebab utama lag dan sering keluar aplikasi sendiri saya lebih suka tokopedia yang dulu tanpa feedvideo reel tapi ringan terimakasih
great!,5,positif,great
"makin tolol aja pesanan d batalkan sistem pengembalian uang lamaaaaa, kalo bisa bintang nol saya kasih bintang nol aja",1,negatif,makin tolol aja pesanan d batalkan sistem pengembalian uang lamaaaaa kalo bisa bintang nol saya kasih bintang nol aja
apa apaan ini aplikasi di update gak bisa ²🫵 hey,1,negatif,apa apaan ini aplikasi di update gak bisa hey
update Tokopedia lagi karena aplikasi error,5,positif,update tokopedia lagi karena aplikasi error
"aplikasi scam bagusan si oren, vouchernya banyak gak bisa dipake kontoI",1,negatif,aplikasi scam bagusan si oren vouchernya banyak gak bisa dipake kontoi
recomended 👍👍👍👍👍,5,positif,recomended 
mantap,5,positif,mantap
bgus,5,positif,bgus
bagus dih,4,positif,bagus dih
bagus nyaman,5,positif,bagus nyaman
Mantappppp bosku lanjutkan bosku..... 👍🏼👍🏼👍🏼👍🏼👍🏼,5,positif,mantappppp bosku lanjutkan bosku 
"terimakasih tokopedia memang mempermudah dalam bertransaksi belanja,,the best",5,positif,terimakasih tokopedia memang mempermudah dalam bertransaksi belanjathe best
ok,5,positif,ok
