content,score
awalnya saya pake si ijo ini karena sebelah bermasalah dalam pengiriman. lha kok ini sama aja. lebih parahnya di si ijo ini gaada customer service yg sedia 24 jam gaissss. jadi kalo KOMPLAIN HARUS NUNGGU 7 HARIIII busettttt lama banget kata aku. sedangkan di aplikasi sebelah CUSTOMER SERVICE SEDIA 24 JAM LOHHHH,1
ok bgt bosz,5
mantap,5
Tokped The Best,5
kurir nya makin lama makin gk jelas estimasi nya kapan nyampe nya blom tau kapan,1
gokil,5
"Selalu jadi andalan, Di setiap kebutuhan.....",5
kerja di bidang selas,5
YA KALI ADMIN BAYAR PAKE VA BANK JADI 5RB. MANA ADA BIAYA LAYANAN PULA,1
Iklan,5
kadang lemot knp ya,5
"penggunaan baru dapet voucher diskon,tpi pas mau di cek out gabisa kocakk kontollllll",1
mudah pilih barang yg diinginkan dan mudah cara pembayarannya,5
ok mantab,5
Pelit gratis ongkir,3
Bagus,5
kalo ada kendala gak bisa menyelesaikan,1
Mudah di Aplikasikan dan banyak Promo menarik,5
Sangat membantu,5
bagus,5
"beli obat nelandoz di persulit banget ya,bingung hrus beli kmn lagi,ini obat penting bnget buat penderita endometriosis ky sya",1
Saya baru melaKukan permainan ini dan ingin mmembukktikan apakahini nyata atau hanya permainan biasa yang tidak menghasilkan saya ingin membuktikannya demikian pengalaman saya semoga menjadi pengalaman yang berharga trimakasih.,5
bagus,5
"Kenapa Tokped selalu eror sih sekarang kalo di buka g kyk dulu lancar ,, ribet bgt skrg",1
"Untuk ramadhan 2026, Tokopedia lumayan enak dipake belanja! Saya mengakui voucher² yang ditawarkan sangat bermanfaat, tapi terkendala dari gratis ongkirnya, atau dibatasi! Tentu hal ini sangat² problematik, disaat pesaing beratnya shopee malah gila²an ngasih gratis ongkirnya! Ayolah, setahun sekali ajak pengguna Tokopedia merasakan keseruan yang tak terlupakan, jadikan momen Ramadan ini spektakuler! semangat :)",4
"makasih Tokopedia sudah bayarin belanjaan saya, Ramadhan extra seru emang mantul, tapi malam ini eror tidak muncul voc",5
mantap,4
Keren 👍,5
banyakin ongkir gratis,5
mantap,5
"Tokped sudah sangat berat, sekarang suka lag dan keluar aplikasi sendiri. tolong untuk pihak developer segera atasi masalah ini dan sedikit saran tidak perlu ikutan aplikasi sebelah yang ditambah feed/video reel dikarenakan itu penyebab utama lag dan sering keluar aplikasi sendiri. saya lebih suka Tokopedia yang dulu tanpa feed/video reel tapi ringan. terimakasih.",3
great!,5
"makin tolol aja pesanan d batalkan sistem pengembalian uang lamaaaaa, kalo bisa bintang nol saya kasih bintang nol aja",1
apa apaan ini aplikasi di update gak bisa ²🫵 hey,1
update Tokopedia lagi karena aplikasi error,5
"aplikasi scam bagusan si oren, vouchernya banyak gak bisa dipake kontoI",1
recomended 👍👍👍👍👍,5
mantap,5
bgus,5
bagus dih,4
bagus nyaman,5
Mantappppp bosku lanjutkan bosku..... 👍🏼👍🏼👍🏼👍🏼👍🏼,5
"terimakasih tokopedia memang mempermudah dalam bertransaksi belanja,,the best",5
ok,5
"aplikasinya nge lag terus, baru juga download masa udah nge lag aja tolong dong perbaiki, kalau untuk diskon sih bagus diskonnya gede gede tapi tiap kali mau co malah nge lag mulu sma kalau mau nambahin alamat tuh susah nya pake banget kita tuh gk bisa masukin titik lokasi rumah kita!!! Kayak semua nya tuh harus ngikutin titik lokasi yang ada di app nya aja jadi kesel tau gak!!! pleaseee kalian harus bisa perbaiki ini demi kenyamanan pengguna!!!!",1
"pas pencet batalkan transaksi BCA nggak bisa, padahal orang gak punya BCA makanya membatalkan, tapi malah nggak bisa dibatalkan",1
OK,5
ok baik,5
saya sudah sering beli tapi terus di kembalikan sama system,1
bagus,5
BAGUSS BANGET SUKAKKK,5
ok,5
buruk sekali dalam menyediakan layanan keluhan pelanggan... sama sekali tidak ada respon yg baik... terkesan menambah masalah bukannya menyelesaikan masalah...,1
Pengiriman Terburuk Di Tokopedia adalah Gojek Instan Kurir. Kurirnya Lamban dan seringan membatalkan pengiriman sepihak. Jauh lebih bagus Grab instan Kurir. Tapi karna sekarang sudah tidak bisa memilih kurir yg di inginkan. yasudahlah. Pokoknya kecewa.,1
coba aja sendiri biar tahu rasanya,1
saya menerima makanan kaleng yang sudah penyok dan terbuka ketika diterima. dan pengembalian dana hanya bisa dilakukan setelah produk dikembalikan ke penjual padahal produk yang dikirim adalah makanan.,1
